objective,retrieval_condition,window_size,mask_count,mask_position,landscape_size,beta,accuracy,lower_ci,upper_ci,effective_n,bigram_accuracy,mean_gap,mean_entropy,mean_energy,mean_top_score,cap_error_0_3,cap_error_0_5,cap_error_0_7,metastable_rate
masked_token,memorization,4,2,center,256,100.0,0.868421052631579,0.7267282994850113,0.9424621712426857,38,0.0,0.367753048427403,0.03055168566704396,-1.0016941396813643,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,center,256,100.0,0.0,0.0,0.10151790621961015,34,0.0,0.09204369756009649,0.11951100199775694,-1.0066270758123959,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,edge,256,100.0,0.8484848484848485,0.6907978686153953,0.9334964074203904,33,0.0,0.37902417609637434,1.2706374841187085e-09,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,edge,256,100.0,0.0,0.0,0.08762453925039232,40,0.0,0.2419473140500486,0.046661151503750775,-1.0025874346494674,1.0,0.0,0.0,0.0,0.0
masked_token,memorization,4,2,end,256,100.0,0.8,0.6269395261897257,0.9049502189759876,30,0.0,0.35727436834325393,1.2706374841187085e-09,-1.0,1.0,0.0,0.0,0.0,0.0
masked_token,generalization,4,2,end,256,100.0,0.0,0.0,0.09890426758938868,35,0.0,0.19948648107903344,0.036741830007574874,-1.0020373923437935,1.0,0.0,0.0,0.0,0.0
next_token,memorization,4,,,1024,3.0,0.0625,0.021482843131227235,0.1683569766274222,48,0.16666666666666666,0.00653844381061693,0.9634928132096926,-2.5789089848597846,0.9481135805447897,0.0,0.0,0.0,0.7083333333333334
next_token,generalization,4,,,1024,3.0,0.1,0.0434751239915711,0.21360490334788393,50,0.12,0.006585476025938988,0.9634945094585419,-2.5789101839065554,0.9474676287174225,0.0,0.0,0.0,0.74
masked_token,memorization,4,1,center,1024,3.0,0.0,0.0,0.08201257002322722,43,0.32558139534883723,0.0004099346697330475,0.9634981169257053,-2.578916083934695,0.945943811605143,0.0,0.0,0.0,1.0
masked_token,generalization,4,1,center,1024,3.0,0.0,0.0,0.07865426194064076,45,0.15555555555555556,0.00040917711125479806,0.963498572508494,-2.578916221194797,0.9458156638675266,0.0,0.0,0.0,1.0
masked_token,memorization,4,1,edge,1024,3.0,0.0,0.0,0.0741026511527422,48,0.22916666666666666,0.0007304797569910685,0.9634952805936337,-2.578911210099856,0.9474498232205709,0.0,0.0,0.0,0.7916666666666666
masked_token,generalization,4,1,edge,1024,3.0,0.0,0.0,0.06879459041288215,52,0.21153846153846154,0.0007266950292082933,0.9634954929351807,-2.578911611667046,0.947415332381542,0.0,0.0,0.0,0.7692307692307693
masked_token,memorization,4,1,end,1024,3.0,0.0625,0.021482843131227235,0.1683569766274222,48,0.10416666666666667,0.006547910549367468,0.963493629048268,-2.5789106438557305,0.9478610729177793,0.0,0.0,0.0,0.7291666666666666
masked_token,generalization,4,1,end,1024,3.0,0.1,0.0434751239915711,0.21360490334788393,50,0.14,0.006599394604563713,0.9634952402114868,-2.578911747932434,0.9472290182113647,0.0,0.0,0.0,0.78
masked_token,memorization,4,2,center,1024,3.0,0.0,0.0,0.11025900073475385,31,0.0,0.0022982666569371377,0.963496454300419,-2.5789158498087237,0.9467389602814952,0.0,0.0,0.0,1.0
masked_token,generalization,4,2,center,1024,3.0,0.0,0.0,0.10151790621961015,34,0.0,0.0023344598491402235,0.9634971829021678,-2.5789162902271046,0.9464471813510446,0.0,0.0,0.0,1.0
